City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
2,Bonthe,SL,78.22,7.5264,-12.505,
5,Busselton,AU,55.04,-33.65,115.3333,
6,Waingapu,ID,78.64,-9.6567,120.2641,
7,Saint-Philippe,RE,74.48,-21.3585,55.7679,
10,Kangaba,ML,79.75,11.9333,-8.4167,
11,Avarua,CK,77.05,-21.2078,-159.775,
13,Victoria,HK,70.25,22.2855,114.1577,
14,Itaituba,BR,84.65,-4.2761,-55.9836,
15,Atuona,PF,77.92,-9.8,-139.0333,
19,Mogadishu,SO,79.43,2.0371,45.3438,
20,Sao Filipe,CV,78.53,14.8961,-24.4956,
21,Vaini,TO,78.96,-21.2,-175.2,
23,Mataura,NZ,59.34,-46.1927,168.8643,
24,Iwaki,JP,52.23,37.05,140.8833,
25,Margate,GB,57.88,51.3813,1.3862,
26,Rikitea,PF,74.73,-23.1203,-134.9692,
29,Jamestown,US,51.39,42.097,-79.2353,
30,Hobart,AU,52.02,-42.8794,147.3294,
34,Faanui,PF,76.28,-16.4833,-151.75,
35,Puerto Ayora,EC,78.76,-0.7393,-90.3518,
36,Pyay,MM,73.44,18.8167,95.2167,
37,Vilanova Del Cami,ES,60.78,41.5717,1.6375,
38,East London,ZA,60.13,-33.0153,27.9116,
39,Hilo,US,85.28,19.7297,-155.09,
40,Port Alfred,ZA,59.07,-33.5906,26.891,
41,Cape Town,ZA,59.34,-33.9258,18.4232,
44,Caravelas,BR,77.36,-17.7125,-39.2481,
45,Palmer,US,55.2,42.1584,-72.3287,
46,Saldanha,ZA,58.75,-33.0117,17.9442,
47,Cravo Norte,CO,84.51,6.3017,-70.2041,
48,Hamilton,US,74.41,39.1834,-84.5333,
49,Lakes Entrance,AU,54.16,-37.8811,147.981,
50,Port Elizabeth,ZA,52.11,-33.918,25.5701,
52,North Platte,US,62.49,41.1239,-100.7654,
53,Migori,KE,65.34,-1.0634,34.4731,
54,Albany,US,53.62,42.6001,-73.9662,
55,Bluff,NZ,54.43,-46.6,168.3333,
56,Broken Hill,AU,54.86,-31.95,141.4333,
57,Souillac,MU,75.36,-20.5167,57.5167,
61,Kibaya,TZ,63.54,-5.3,36.5667,
62,Pokhara,NP,59.97,28.2333,83.9833,
63,Kapaa,US,84.18,22.0752,-159.319,
65,Butaritari,KI,81.48,3.0707,172.7902,
67,Wakkanai,JP,55.4,45.4094,141.6739,
68,Lebu,CL,55.67,-37.6167,-73.65,
69,Mahebourg,MU,75.25,-20.4081,57.7,
70,Eureka,US,59.63,40.8021,-124.1637,
71,Gat,IL,69.82,31.61,34.7642,
72,Airai,TL,63.37,-8.9266,125.4092,
73,Vila Franca Do Campo,PT,63.01,37.7167,-25.4333,
74,Tevaitoa,PF,76.19,-16.7833,-151.5,
77,Moron,AR,74.95,-34.6534,-58.6198,
78,Namatanai,PG,82.94,-3.6667,152.4333,
79,Castro,BR,56.71,-24.7911,-50.0119,
80,Mumford,GH,78.19,5.2618,-0.759,
82,Kuala Terengganu,MY,77.23,5.3302,103.1408,
83,Katsuura,JP,57.11,35.1333,140.3,
84,Cabedelo,BR,79.47,-6.9811,-34.8339,
87,Kavieng,PG,83.89,-2.5744,150.7967,
89,Bengkulu,ID,75.13,-3.8004,102.2655,
91,Tomatlan,MX,88.75,19.9333,-105.25,
94,Necochea,AR,59.49,-38.5473,-58.7368,
97,Richards Bay,ZA,64.04,-28.783,32.0377,
99,Geraldton,AU,62.13,-28.7667,114.6,
100,Chuy,UY,60.57,-33.6971,-53.4616,
101,Kaitangata,NZ,58.73,-46.2817,169.8464,
102,Torbay,CA,55.67,47.6666,-52.7314,
103,Awbari,LY,77.04,26.5921,12.7805,
104,Port-Gentil,GA,78.31,-0.7193,8.7815,
105,Nkhata Bay,MW,78.13,-11.6066,34.2907,
107,Half Moon Bay,US,64.8,37.4636,-122.4286,
108,Sumbe,AO,75.54,-11.2061,13.8437,
110,Redmond,US,54.09,47.674,-122.1215,
112,Ranfurly,NZ,56.07,-45.1333,170.1,
113,New Norfolk,AU,51.66,-42.7826,147.0587,
114,Constitucion,CL,60.62,-35.3333,-72.4167,
116,Ribeira Grande,PT,66.69,38.5167,-28.7,
118,Bauchi,NG,77.56,10.5,10.0,
120,Indiana,US,63.73,40.0003,-86.2503,
122,Georgetown,MY,77.9,5.4112,100.3354,
124,Arraial Do Cabo,BR,71.49,-22.9661,-42.0278,
125,Santiago,CL,83.64,-33.4569,-70.6483,
126,Pochutla,MX,85.82,15.7432,-96.4661,
129,Hermanus,ZA,57.9,-34.4187,19.2345,
130,Saint-Pierre,RE,74.57,-21.3393,55.4781,
131,Tiarei,PF,77.02,-17.5333,-149.3333,
132,Hangal,IN,67.53,14.7667,75.1333,
133,Alice Springs,AU,67.55,-23.7,133.8833,
134,Bethel,US,56.1,41.3712,-73.414,
137,Kuah,MY,80.1,6.3265,99.8432,
138,Fairmont,US,70.38,39.4851,-80.1426,
139,Bathsheba,BB,81.21,13.2167,-59.5167,
140,Laguna,US,63.27,38.421,-121.4238,
142,Coquimbo,CL,60.53,-29.9533,-71.3436,
144,Fukue,JP,61.68,32.6881,128.8419,
145,Knysna,ZA,53.67,-34.0363,23.0471,
148,Cockburn Town,TC,82.36,21.4612,-71.1419,
149,Pisco,PE,66.25,-13.7,-76.2167,
150,Camacha,PT,67.42,33.0833,-16.3333,
151,Talaja,IN,76.84,21.35,72.05,
152,Gerash,IR,69.55,27.6652,54.1371,
153,Mar Del Plata,AR,64.42,-38.0023,-57.5575,
154,Vaitape,PF,76.39,-16.5167,-151.75,
155,Santa Vitoria Do Palmar,BR,60.93,-33.5189,-53.3681,
156,Madison,US,72.99,34.7334,-86.5667,
157,Sur,OM,81.19,22.5667,59.5289,
159,Kidodi,TZ,72.72,-7.6036,37.0044,
160,Roma,US,55.13,43.2128,-75.4557,
161,Mariana,BR,70.3,-20.3778,-43.4161,
162,Broome,US,53.38,42.2506,-75.833,
165,Cidreira,BR,62.76,-30.1811,-50.2056,
167,Tessalit,ML,87.42,20.1986,1.0114,
168,Manokwari,ID,78.85,-0.8667,134.0833,
170,Poum,NC,75.6,-20.2333,164.0167,
171,Port Moresby,PG,80.74,-9.4431,147.1797,
173,Marsa Matruh,EG,70.7,31.3525,27.2453,
175,Lompoc,US,71.74,34.6391,-120.4579,
176,Mount Isa,AU,78.57,-20.7333,139.5,
178,Balabac,PH,81.18,7.9868,117.0645,
180,Sambava,MG,75.83,-14.2667,50.1667,
182,Atambua,ID,76.86,-9.1061,124.8925,
183,Ahipara,NZ,65.98,-35.1667,173.1667,
184,Araouane,ML,89.15,18.9048,-3.5265,
185,Morondava,MG,72.68,-20.2833,44.2833,
186,Cayenne,GF,82.09,4.9333,-52.3333,
188,Nuevo Progreso,MX,89.6,23.1667,-97.95,
189,Vanimo,PG,78.6,-2.6741,141.3028,
190,Bassila,BJ,74.97,9.0081,1.6654,
192,Klaksvik,FO,50.92,62.2266,-6.589,
193,Buraydah,SA,70.97,26.326,43.975,
194,Odweyne,SO,72.41,9.4092,45.064,
196,Ballina,AU,69.78,-28.8667,153.5667,
197,Muisne,EC,77.05,0.6,-80.0333,
198,Dingle,PH,75.47,10.9995,122.6711,
199,Inirida,CO,78.3,3.8653,-67.9239,
204,Bambous Virieux,MU,75.22,-20.3428,57.7575,
205,Monrovia,LR,78.57,6.3005,-10.7969,
208,Fare,PF,75.29,-16.7,-151.0167,
212,Alofi,NU,74.89,-19.0595,-169.9187,
213,Guerrero Negro,MX,70.54,27.9769,-114.0611,
214,Kupang,ID,77.58,-10.1667,123.5833,
217,Noumea,NC,78.78,-22.2763,166.4572,
218,Kununurra,AU,80.58,-15.7667,128.7333,
219,Belmonte,BR,77.5,-15.8631,-38.8828,
220,Touros,BR,81.5,-5.1989,-35.4608,
221,Zarate,AR,73.94,-34.0981,-59.0286,
222,Makat,KZ,52.29,47.6469,53.3463,
224,Naifaru,MV,82.33,5.4444,73.3657,
225,Peniche,PT,61.61,39.3558,-9.3811,
226,Imaculada,BR,80.17,-7.3897,-37.5092,
227,Carnarvon,AU,68.07,-24.8667,113.6333,
228,Joao Pinheiro,BR,74.07,-17.7425,-46.1725,
229,Vredendal,ZA,63.66,-31.6683,18.5012,
230,Viransehir,TR,61.88,37.2353,39.7631,
232,Labuhan,ID,78.28,-6.8844,112.2051,
235,Orange Cove,US,73.45,36.6244,-119.3137,
236,Praia Da Vitoria,PT,64.76,38.7333,-27.0667,
237,Akyab,MM,76.23,20.15,92.9,
238,Daru,PG,82.53,-9.0763,143.2092,
239,Erzin,TR,68.72,36.9559,36.2,
244,Yulara,AU,66.04,-25.2406,130.9889,
245,Brae,GB,53.51,60.3964,-1.353,
246,Port Lincoln,AU,55.31,-34.7333,135.8667,
247,Chaiyaphum,TH,67.84,15.75,102.0,
248,Caramay,PH,78.87,10.1815,119.236,
249,Ambulu,ID,76.8,-8.345,113.6058,
250,Saint George,US,75.67,37.1041,-113.5841,
252,Puerto Del Rosario,ES,71.35,28.5004,-13.8627,
253,Goundi,TD,78.39,9.3627,17.366,
257,Biltine,TD,84.99,14.5333,20.9167,
259,Lata,PT,58.82,40.1629,-8.3327,
260,Farafangana,MG,75.83,-22.8167,47.8333,
263,San Rafael,AR,82.54,-34.6177,-68.3301,
264,Te Anau,NZ,57.27,-45.4167,167.7167,
265,Elizabeth City,US,74.01,36.2946,-76.2511,
268,Los Santos,PA,78.4,7.9333,-80.4167,
269,Moranbah,AU,79.09,-22.0016,148.0466,
271,Aitape,PG,80.1,-3.1374,142.3475,
272,Salinopolis,BR,81.36,-0.6136,-47.3561,
